Selected,Term,NoEmp,CreateJob,RetainedJob,UrbanRural,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,label
1.0,240.0,65.0,3.0,65.0,urban,0.0,343000.0,343000.0,0.0,1.0,1.0,0.0,0.0
0.0,269.0,2.0,0.0,2.0,urban,247074.0,297500.0,223125.0,0.0,1.0,0.75,0.0,1.0
0.0,84.0,1.0,2.0,1.0,rural,0.0,30000.0,15000.0,1.0,0.0,0.5,0.0,0.0
1.0,76.0,2.0,0.0,2.0,rural,29700.0,30000.0,15000.0,1.0,0.0,0.5,0.0,1.0
1.0,60.0,13.0,7.0,20.0,urban,0.0,25000.0,12500.0,1.0,0.0,0.5,0.0,0.0
1.0,240.0,13.0,8.0,0.0,urban,0.0,79000.0,79000.0,0.0,1.0,1.0,0.0,0.0
0.0,240.0,13.0,8.0,0.0,urban,0.0,249000.0,249000.0,0.0,1.0,1.0,0.0,0.0
1.0,84.0,3.0,0.0,3.0,rural,0.0,30000.0,15000.0,1.0,0.0,0.5,0.0,0.0
0.0,240.0,13.0,6.0,13.0,rural,0.0,229000.0,229000.0,0.0,1.0,1.0,0.0,0.0
1.0,39.0,3.0,1.0,4.0,urban,40000.0,40000.0,20000.0,0.0,0.0,0.5,0.0,1.0
0.0,240.0,345.0,20.0,0.0,urban,0.0,568000.0,568000.0,0.0,1.0,1.0,0.0,0.0
0.0,240.0,6.0,5.0,0.0,urban,0.0,557000.0,557000.0,0.0,1.0,1.0,0.0,0.0
0.0,268.0,5.0,3.0,8.0,urban,230645.0,394200.0,295650.0,0.0,1.0,0.75,0.0,1.0
0.0,240.0,34.0,6.0,34.0,urban,0.0,914000.0,914000.0,0.0,1.0,1.0,0.0,0.0
1.0,41.0,1.0,1.0,1.0,urban,29638.0,30000.0,15000.0,0.0,0.0,0.5,0.0,1.0
0.0,73.0,31.0,69.0,31.0,urban,0.0,150000.0,75000.0,0.0,0.0,0.5,0.0,0.0
1.0,54.0,3.0,2.0,3.0,rural,28987.0,30000.0,15000.0,0.0,0.0,0.5,0.0,1.0
1.0,240.0,20.0,3.0,0.0,urban,0.0,105000.0,105000.0,0.0,1.0,1.0,0.0,0.0
1.0,120.0,6.0,0.0,6.0,urban,0.0,825000.0,618750.0,0.0,0.0,0.75,0.0,0.0
0.0,7.0,1.0,0.0,1.0,urban,43770.0,45000.0,22500.0,0.0,0.0,0.5,0.0,1.0
1.0,39.0,1.0,0.0,1.0,urban,23950.0,24000.0,12000.0,1.0,0.0,0.5,1.0,1.0
0.0,84.0,1.0,0.0,1.0,urban,0.0,50000.0,25000.0,0.0,0.0,0.5,0.0,0.0
0.0,84.0,1.0,0.0,1.0,urban,0.0,100000.0,50000.0,0.0,0.0,0.5,0.0,0.0
0.0,84.0,1.0,3.0,1.0,urban,0.0,50000.0,25000.0,0.0,0.0,0.5,0.0,0.0
0.0,84.0,5.0,0.0,5.0,rural,0.0,50000.0,25000.0,0.0,0.0,0.5,0.0,0.0
0.0,84.0,5.0,2.0,5.0,rural,0.0,30000.0,15000.0,0.0,0.0,0.5,0.0,0.0
1.0,44.0,1.0,6.0,1.0,urban,70294.0,100000.0,50000.0,0.0,0.0,0.5,0.0,1.0
0.0,56.0,3.0,2.0,3.0,urban,70525.0,74300.0,37150.0,0.0,0.0,0.5,0.0,1.0
1.0,84.0,2.0,0.0,2.0,urban,0.0,25000.0,12500.0,0.0,0.0,0.5,0.0,0.0
0.0,43.0,9.0,0.0,9.0,urban,19119.0,20000.0,10000.0,0.0,0.0,0.5,0.0,1.0
0.0,84.0,1.0,1.0,2.0,urban,0.0,10000.0,5000.0,1.0,0.0,0.5,0.0,0.0
1.0,38.0,3.0,0.0,3.0,urban,29219.0,30000.0,15000.0,0.0,0.0,0.5,0.0,1.0
